id,bookname_ws,bookyear_i,bookmonth_txt_en_split,author_txt_en_split,subject_txt_en_split,booknumber_i
6400,UDB-041-1345-46-41-01-MAGH.pdf,1345,magh,Swami Sundarananda,Udbodhoner Naboborsho',1
6401,UDB-041-1345-46-41-01-MAGH.pdf,1345,magh,Mahamohopadhyay Sri Promothonath torkobhusan,Sanantan Dhormmer Boisistho,1
6402,UDB-041-1345-46-41-01-MAGH.pdf,1345,magh,Sri Shibshambhu Sarkar,Yatri,1
6403,UDB-041-1345-46-41-01-MAGH.pdf,1345,magh,"Sri Upendrakumar Kar,B.S",Yugabatar Jagatguru Ramakrishna,1
6404,UDB-041-1345-46-41-01-MAGH.pdf,1345,magh,Brahmmachari Bireswar Chaitanya,Sthir O Oshthir,1
6405,UDB-041-1345-46-41-01-MAGH.pdf,1345,magh,"Sri Surendranath Chakraborty,M.A",Antorik Jop Dhyaner Drishtanto,1
6406,UDB-041-1345-46-41-01-MAGH.pdf,1345,magh,Swami Sri Shankar Tirtho,Tantrokto Kulachar,1
6407,UDB-041-1345-46-41-01-MAGH.pdf,1345,magh,Srimoti Aparna Debi ,Phire Jodi Asi,1
6408,UDB-041-1345-46-41-01-MAGH.pdf,1345,magh,Swami Tyagiswarananda,Jol-Pothe Nimnobrahmme,1
6409,UDB-041-1345-46-41-01-MAGH.pdf,1345,magh,"Sri Haridas Bandopadhyay,M.A",Samajik Shasti,1
6410,UDB-041-1345-46-41-01-MAGH.pdf,1345,magh,Onubadok Pandit Sri Durgacharan Chattopadhyay,Ponchodoshi,1
6411,UDB-041-1345-46-41-01-MAGH.pdf,1345,magh,,Sangbad,1
6412,UDB-041-1345-46-41-02-FALGOON.pdf,1345,falgoon,Swami Sundarananda,Sriramkrishner Dan,2
6413,UDB-041-1345-46-41-02-FALGOON.pdf,1345,falgoon,Sri Anilbaran Roy,Yogger Amrito,2
6414,UDB-041-1345-46-41-02-FALGOON.pdf,1345,falgoon,"Oddhyapok Sri Bipinkrishna Ghosh,M.A",Premik,2
6415,UDB-041-1345-46-41-02-FALGOON.pdf,1345,falgoon,Raja Sri Purnendu Guharoy,Ramakrishna,2
6416,UDB-041-1345-46-41-02-FALGOON.pdf,1345,falgoon,"Roybahadur Sri Amarnath Roy,B.A",Olotishanti Prokoron'er Upokromoposanghar,2
6417,UDB-041-1345-46-41-02-FALGOON.pdf,1345,falgoon,"Sri Romonikumar Duttagupta,B.L",Biswashanti Somosya,2
