id,bookname_ws,bookyear_i,bookmonth_txt_en_split,author_txt_en_split,subject_txt_en_split,booknumber_i
7500,UDB-046-1350-51-46-01-MAGH.pdf,1350,magh,Swami Sundarananda,Udbodhon'er Noboborsho,1
7501,UDB-046-1350-51-46-01-MAGH.pdf,1350,magh,Sri Jatindranath Das,Ramakrishna,1
7502,UDB-046-1350-51-46-01-MAGH.pdf,1350,magh,Oddhyapok Sri Anantakumar Nyay-Torko-Tirtho,Brahmmolokhhonbichar,1
7503,UDB-046-1350-51-46-01-MAGH.pdf,1350,magh,"Oddhyapok Sri Dineshchandra Guha,M.A,Kabyo-Nyay-Torko-Bedantotirtho",Bidehomukti,1
7504,UDB-046-1350-51-46-01-MAGH.pdf,1350,magh,Sri Kalidas Roy,Jibon-Moron,1
7505,UDB-046-1350-51-46-01-MAGH.pdf,1350,magh,Swami Shibsoron Puri,Kashmirer Brahmmabidhushi Lalleswari,1
7506,UDB-046-1350-51-46-01-MAGH.pdf,1350,magh,Sri Prafulla Kumar Guhathakurota,Nironno Bangali,1
7507,UDB-046-1350-51-46-01-MAGH.pdf,1350,magh,Sri Girijashankar Roychowdhury,Sri Aurobindo,1
7508,UDB-046-1350-51-46-01-MAGH.pdf,1350,magh,Sri Debendranath Sen,Nobojug,1
7509,UDB-046-1350-51-46-01-MAGH.pdf,1350,magh,Sri Mahendranath Sarkar,Tontralok,1
7510,UDB-046-1350-51-46-01-MAGH.pdf,1350,magh,"Sri Hareshchandra Pal,M.A",Prayoschitto,1
7511,UDB-046-1350-51-46-01-MAGH.pdf,1350,magh,Srimati Sorolabala Sarkar,Ek Sei,1
7512,UDB-046-1350-51-46-01-MAGH.pdf,1350,magh,"Sri Pashupoti Bhattacharya,B.A,Kabyotirtho",Mahabharoter Upekhhito Bir,1
7513,UDB-046-1350-51-46-01-MAGH.pdf,1350,magh,Oddhyapok Sri Sudhangshubimal Mukhopadhyay,Deskpremik Rabindranath,1
7514,UDB-046-1350-51-46-01-MAGH.pdf,1350,magh,,Sriramakrishna Moth O Mission Sangbad,1
7515,UDB-046-1350-51-46-01-MAGH.pdf,1350,magh,,Bibidho Sangbad,1
7516,UDB-046-1350-51-46-02-FALGOON.pdf,1350,falgoon,Swami Sundarananda,Sriramakrishner Obodan,2
7517,UDB-046-1350-51-46-02-FALGOON.pdf,1350,falgoon,"Lotika Ghosh,B.Litt(Oxon),Dip.Ed(London)",Matriporichoy,2
7518,UDB-046-1350-51-46-02-FALGOON.pdf,1350,falgoon,Bijoylal Chattopadhyay,Roma Rolar Drishtite Vivekananda,2
7519,UDB-046-1350-51-46-02-FALGOON.pdf,1350,falgoon,Sri Binoybhuson Sengupta,Dhongsher Bij,2
7520,UDB-046-1350-51-46-02-FALGOON.pdf,1350,falgoon,Oddhyapok Sri Anantakumar Nyay-Torko-Tirtho,Brahmmolokhhonbichar,2
7521,UDB-046-1350-51-46-02-FALGOON.pdf,1350,falgoon,Sri Mahendranath Sarkar,Tontralok,2
7522,UDB-046-1350-51-46-02-FALGOON.pdf,1350,falgoon,"Srimati Sabitri Nath,M.A, Saraswati",Proloydeb,2
7523,UDB-046-1350-51-46-02-FALGOON.pdf,1350,falgoon,Sri Girijashankar Roychowdhury,Sri Aurobindo,2
7524,UDB-046-1350-51-46-02-FALGOON.pdf,1350,falgoon,"Oddhyapok Sri Okkhoykumar Bandopadhyay,M.A",Opromeyo,2
7525,UDB-046-1350-51-46-02-FALGOON.pdf,1350,falgoon,Swami Shradhhananda,Byatha,2
7526,UDB-046-1350-51-46-02-FALGOON.pdf,1350,falgoon,Swami Pronobatmananda,Batyabidhhosto Kathi,2
7527,UDB-046-1350-51-46-02-FALGOON.pdf,1350,falgoon,Swami Progyanananda,Bharotiyo Sangeeter Kotha,2
7528,UDB-046-1350-51-46-02-FALGOON.pdf,1350,falgoon,,Sriramakrishna Moth O Mission Sangbad,2
7529,UDB-046-1350-51-46-02-FALGOON.pdf,1350,falgoon,,Bibidho Sangbad,2
7530,UDB-046-1350-51-46-02-FALGOON.pdf,1350,falgoon,,Ramakrishna Missioner Sebakarjo Biboron O Abedon,2
7531,UDB-046-1350-51-46-03-CHAITRA.pdf,1350,chaitra,Swami Sundarananda,Banglar Durgoti,3
7532,UDB-046-1350-51-46-03-CHAITRA.pdf,1350,chaitra,Brahmmachari Purno Chaitanya,Nibedita,3
7533,UDB-046-1350-51-46-03-CHAITRA.pdf,1350,chaitra,"Sri Aurobindo Ghosal,M.A,B.L",Prachho O Paschatya,3
7534,UDB-046-1350-51-46-03-CHAITRA.pdf,1350,chaitra,Sri Kalidas Roy,Jatyobhiman,3
7535,UDB-046-1350-51-46-03-CHAITRA.pdf,1350,chaitra,Oddhyapok Sri Anantakumar Nyay-Torko-Tirtho,Brahmmolokhhonbichar,3
7536,UDB-046-1350-51-46-03-CHAITRA.pdf,1350,chaitra,Sri Jatindranath Das,Sebok Toru,3
7537,UDB-046-1350-51-46-03-CHAITRA.pdf,1350,chaitra,Sri Girijashankar Roychowdhury,Sri Aurobindo,3
7538,UDB-046-1350-51-46-03-CHAITRA.pdf,1350,chaitra,Sri Bhubonmohun Bijoli,Sri Sri Chaitanya Choritamrito,3
7539,UDB-046-1350-51-46-03-CHAITRA.pdf,1350,chaitra,Sri Mahendranath Sarkar,Tontralok,3
7540,UDB-046-1350-51-46-03-CHAITRA.pdf,1350,chaitra,Swami Durgachaitanya Bharoti,Gargi,3
7541,UDB-046-1350-51-46-03-CHAITRA.pdf,1350,chaitra,"Sri Romoni Kumar Duttagupa,B.L",Sri Chaitanya O Sriramakrishna,3
7542,UDB-046-1350-51-46-03-CHAITRA.pdf,1350,chaitra,Sri Sangjukta Kar,Borshosesh,3
7543,UDB-046-1350-51-46-03-CHAITRA.pdf,1350,chaitra,,Somalochona,3
7544,UDB-046-1350-51-46-03-CHAITRA.pdf,1350,chaitra,,Sriramakrishna Moth O Mission Sangbad,3
