id,bookname_ws,bookyear_i,bookmonth_txt_en_split,author_txt_en_split,subject_txt_en_split,booknumber_i
1500,UDB-011-1315-16-11-01-Magh.pdf,1315,magh,Ba',Shantishudha,1
1501,UDB-011-1315-16-11-01-Magh.pdf,1315,magh,Shri Sharachchandra Chakraborty,Swami-Shishya-Sangbad,1
1502,UDB-011-1315-16-11-01-Magh.pdf,1315,magh,Shri Upendranath Modak,Europeo Darshaner Itihaas,1
1503,UDB-011-1315-16-11-01-Magh.pdf,1315,magh,Shri Niharranjan Chattopadhyay,Shri Shri Mahabinak Darshan,1
1504,UDB-011-1315-16-11-01-Magh.pdf,1315,magh,,Swami Bibekanander Janmotsav,1
1505,UDB-011-1315-16-11-01-Magh.pdf,1315,magh,Shri-----,Chokrir Chakra,1
1506,UDB-011-1315-16-11-01-Magh.pdf,1315,magh,,Sangbad,1
1507,UDB-011-1315-16-11-01-Magh.pdf,1315,magh,,Sangkhipta Shamalochana,1
1508,UDB-011-1315-16-11-01-Magh.pdf,1315,magh,,Guru Puja,1
1509,UDB-011-1315-16-11-02-Falgoon.pdf,1315,falgoon,Shri Gurudas Barmman,Shri Shri Ramkrishna Charit,2
1510,UDB-011-1315-16-11-02-Falgoon.pdf,1315,falgoon,Shri Sharachchandra Chakraborty,Swami Shishya Sangbad,2
1511,UDB-011-1315-16-11-02-Falgoon.pdf,1315,falgoon,Swami Saradananda,Bharate Bhaktipuja,2
1512,UDB-011-1315-16-11-02-Falgoon.pdf,1315,falgoon,Shri Upendranath Modak,Europeo Darshaner Itihaas,2
1513,UDB-011-1315-16-11-02-Falgoon.pdf,1315,falgoon,Swami Bodhananda,Bombai Hoite Sholapurer pothe,2
1514,UDB-011-1315-16-11-02-Falgoon.pdf,1315,falgoon,,Adarsha,2
1515,UDB-011-1315-16-11-02-Falgoon.pdf,1315,falgoon,Shri Krishnachandra Barmman,Ved O Vedyo,2
1516,UDB-011-1315-16-11-02-Falgoon.pdf,1315,falgoon,,Swami Vivekanander Patra,2
1517,UDB-011-1315-16-11-02-Falgoon.pdf,1315,falgoon,,ShriRamkrishna MahotsavDarshane,2
1518,UDB-011-1315-16-11-02-Falgoon.pdf,1315,falgoon,,Sangbad,2
1519,UDB-011-1315-16-11-02-Falgoon.pdf,1315,falgoon,,Sangkhipta Shamalochana,2
1520,UDB-011-1315-16-11-02-Falgoon.pdf,1315,falgoon,,Janmotsav Geeti,2
1521,UDB-011-1315-16-11-03-Chaitra.pdf,1315,chaitra,Ba' Likhito,Shantishudha,3
1522,UDB-011-1315-16-11-03-Chaitra.pdf,1315,chaitra,,Swami Vivekanander Patra,3
1523,UDB-011-1315-16-11-03-Chaitra.pdf,1315,chaitra,,Bangaloree Ramkrishna Math,3
1524,UDB-011-1315-16-11-03-Chaitra.pdf,1315,chaitra,Shri Upendranath Modak,Europeo Darshaner Itihaas,3
1525,UDB-011-1315-16-11-03-Chaitra.pdf,1315,chaitra,Shri Rajendranath Ghosh,Gayadhaame ShriShankaracharya,3
1526,UDB-011-1315-16-11-03-Chaitra.pdf,1315,chaitra,Shri Krishnachandra Barmman,Ved O Vedyo,3
1527,UDB-011-1315-16-11-03-Chaitra.pdf,1315,chaitra,Shri Nikunja Bihari Mallick,Uttarakhande Kothin Kedar o Bandari Bishal,3
1528,UDB-011-1315-16-11-03-Chaitra.pdf,1315,chaitra,Bipin Bihari Bandopadhyay,Amader Barttoman obostha or tar protikar,3
1529,UDB-011-1315-16-11-03-Chaitra.pdf,1315,chaitra,,Haridware ardhdhokumbhamela,3
1530,UDB-011-1315-16-11-04-Baishakh.pdf,1316,baishakh,Ba' Likhito,Shantishudha,4
1531,UDB-011-1315-16-11-04-Baishakh.pdf,1316,baishakh,,Swami Vivekanander Patra,4
1532,UDB-011-1315-16-11-04-Baishakh.pdf,1316,baishakh,Shri Surendranath Sen,Amader Obhab,4
1533,UDB-011-1315-16-11-04-Baishakh.pdf,1316,baishakh,Shri Upendranath Modak,Europeo Darshaner Itihaas,4
1534,UDB-011-1315-16-11-04-Baishakh.pdf,1316,baishakh,Bipin Bihari Bandopadhyay,Amader Barttoman obostha or tahar protikar,4
1535,UDB-011-1315-16-11-04-Baishakh.pdf,1316,baishakh,Shri Nikunja Bihari Mallick,Uttarakhande Kothin Kedar o Bandari Bishal,4
1536,UDB-011-1315-16-11-04-Baishakh.pdf,1316,baishakh,Shri Rajendranath Ghosh,Shankar Prasanga,4
1537,UDB-011-1315-16-11-04-Baishakh.pdf,1316,baishakh,Shri Kiranchandra Dutta,Shri-Ramkrishnadeb O Swami Bibekananda,4
1538,UDB-011-1315-16-11-04-Baishakh.pdf,1316,baishakh,,Bhartiya DhorrmoSangha,4
1539,UDB-011-1315-16-11-04-Baishakh.pdf,1316,baishakh,,Baranasi Ramkrishna-Sebashram,4
1540,UDB-011-1315-16-11-05-Jaishtho.pdf,1316,jaishtho,Shri Gurudas Barmman,Shri Shri Ramkrishna Charit,5
1541,UDB-011-1315-16-11-05-Jaishtho.pdf,1316,jaishtho,,Swami Vivekanander Patra,5
1542,UDB-011-1315-16-11-05-Jaishtho.pdf,1316,jaishtho,Shri Girishchandra Ghosh,Goudiya Baishnab Dhorrmmo,5
1543,UDB-011-1315-16-11-05-Jaishtho.pdf,1316,jaishtho,Shri Upendranath Modak,Europeo Darshaner Itihaas,5
1544,UDB-011-1315-16-11-05-Jaishtho.pdf,1316,jaishtho,,Bhartiya DhorrmoSangha,5
1545,UDB-011-1315-16-11-05-Jaishtho.pdf,1316,jaishtho,Shri Rajendranath Ghosh,Shankar Prasanga,5
1546,UDB-011-1315-16-11-05-Jaishtho.pdf,1316,jaishtho,Shri Krishnachandra Barmman,Ved O Vedyo,5
1547,UDB-011-1315-16-11-05-Jaishtho.pdf,1316,jaishtho,,Sangkhipta Alochana,5
1548,UDB-011-1315-16-11-05-Jaishtho.pdf,1316,jaishtho,Shri Phanindranath Ghosh,Shri Shri Gourangadeb,5
1549,UDB-011-1315-16-11-06-Ashar.pdf,1316,ashar,Ba',Shantishudha,6
1550,UDB-011-1315-16-11-06-Ashar.pdf,1316,ashar,,Swami Vivekanander Patra,6
1551,UDB-011-1315-16-11-06-Ashar.pdf,1316,ashar,Swami Shuddhananda,Dhorrmmobirodh bhanjaner koyekti upae,6
1552,UDB-011-1315-16-11-06-Ashar.pdf,1316,ashar,Brahmachari Upendranath,Ek Ghonta Sadhusanga,6
1553,UDB-011-1315-16-11-06-Ashar.pdf,1316,ashar,Odhyapak Binayendranath Sen,Bhartiya DhorrmoSangha,6
1554,UDB-011-1315-16-11-06-Ashar.pdf,1316,ashar,Swami Satyakam,Kamakhya Bhraman,6
1555,UDB-011-1315-16-11-06-Ashar.pdf,1316,ashar,Swami Bibekananda,Madiyo Acharyadeb,6
1556,UDB-011-1315-16-11-07-Srabon.pdf,1316,srabon,Shri Gurudas Barmman,Shri Shri Ramkrishna Charit,7
1557,UDB-011-1315-16-11-07-Srabon.pdf,1316,srabon,,Swami Vivekanander Patra,7
1558,UDB-011-1315-16-11-07-Srabon.pdf,1316,srabon,Swami Bibekananda,Madiyo Acharyadeb,7
1559,UDB-011-1315-16-11-07-Srabon.pdf,1316,srabon,Shri Krishnachandra Barmman,Ved O Vedyo,7
1560,UDB-011-1315-16-11-07-Srabon.pdf,1316,srabon,Shri Rajendranath Ghosh,Shankar Prasanga,7
1561,UDB-011-1315-16-11-07-Srabon.pdf,1316,srabon,Shri Upendranath Modak,Europeo Darshaner Itihaas,7
1562,UDB-011-1315-16-11-07-Srabon.pdf,1316,srabon,Shri Jatindranath Basu,Madhur Rash O Baishnab Kabikul,7
1563,UDB-011-1315-16-11-09-Ashyeen.pdf,1316,ashyeen,Shri Gurudas Barmman,Shri Shri Ramkrishna Charit,9
1564,UDB-011-1315-16-11-09-Ashyeen.pdf,1316,ashyeen,Swami Bibekananda,DhormmoBigyan,9
1565,UDB-011-1315-16-11-09-Ashyeen.pdf,1316,ashyeen,Shri Sharachchandra Chakraborty,Swami Shishya Sangbad,9
1566,UDB-011-1315-16-11-09-Ashyeen.pdf,1316,ashyeen,Shri Jatindranath Basu,Madhur Rash O Baishnab Kabikul,9
1567,UDB-011-1315-16-11-09-Ashyeen.pdf,1316,ashyeen,,Bhartetoro Deshe Bedanta Prachar,9
1568,UDB-011-1315-16-11-09-Ashyeen.pdf,1316,ashyeen,,Ghatal Anchale Bhishon Bonya,9
1569,UDB-011-1315-16-11-10-Karttik.pdf,1316,karttik,Ba' Likhito,Shantishudha,10
1570,UDB-011-1315-16-11-10-Karttik.pdf,1316,karttik,,Swami bibekanander Oshompurno Rochonabali,10
1571,UDB-011-1315-16-11-10-Karttik.pdf,1316,karttik,,Nilakashe Bhashe Meghkul,10
1572,UDB-011-1315-16-11-10-Karttik.pdf,1316,karttik,,DhormmoBigyan,10
1573,UDB-011-1315-16-11-10-Karttik.pdf,1316,karttik,Shri Jatindranath Basu,Madhur Rash O Baishnab Kabikul,10
1574,UDB-011-1315-16-11-10-Karttik.pdf,1316,karttik,Shri Rajendranath Ghosh,Shankar Prasanga,10
1575,UDB-011-1315-16-11-10-Karttik.pdf,1316,karttik,Shri Krishnachandra Barmman,Ved O Vedyo,10
1576,UDB-011-1315-16-11-10-Karttik.pdf,1316,karttik,,Tirtha Prasanga,10
1577,UDB-011-1315-16-11-10-Karttik.pdf,1316,karttik,Shrima,Kohile 'Abar Ashibe',10
1578,UDB-011-1315-16-11-10-Karttik.pdf,1316,karttik,Shri Bhupalchandra Sarkar,Esho Bajaye Banshi,10
1579,UDB-011-1315-16-11-10-Karttik.pdf,1316,karttik,,Ramkrishna Mission,10
1580,UDB-011-1315-16-11-11-Agrohawan.pdf,1316,agrohawan,,Shri Shri Ramkrishnaleelaprasanga,11
1581,UDB-011-1315-16-11-11-Agrohawan.pdf,1316,agrohawan,,Swami bibekanander Oshompurno Rochonabali,11
1582,UDB-011-1315-16-11-11-Agrohawan.pdf,1316,agrohawan,Shri Jitendralal Basu,Batsolya Rosh O Baishnab Kabikul,11
1583,UDB-011-1315-16-11-11-Agrohawan.pdf,1316,agrohawan,,DhormmoBigyan,11
1584,UDB-011-1315-16-11-11-Agrohawan.pdf,1316,agrohawan,Shri Girishchandra Ghosh,Pitri Prayoshchitto,11
1585,UDB-011-1315-16-11-11-Agrohawan.pdf,1316,agrohawan,Shri Kalikumar Adhikari,Tirtha Prasanga,11
1586,UDB-011-1315-16-11-11-Agrohawan.pdf,1316,agrohawan,Shri Onodaprasad Ghosh,Prarthana,11
1587,UDB-011-1315-16-11-11-Agrohawan.pdf,1316,agrohawan,,Ramkrishna Mission,11
1588,UDB-011-1315-16-11-12-Poush.pdf,1316,poush,Swami Saradananda,Shri Shri Ramkrishnaleelaprasanga,12
1589,UDB-011-1315-16-11-12-Poush.pdf,1316,poush,,DhormmoBigyan,12
