id,bookname_ws,bookyear_i,bookmonth_txt_en_split,author_txt_en_split,subject_txt_en_split,booknumber_i
2535,UDB-021-1325-26-01-Magh.pdf,1325,magh,Swami Suddhananda,Amader Adarsha o Tallabher Upay,1
2536,UDB-021-1325-26-01-Magh.pdf,1325,magh,Shri  Hemchandra Majumdar,Sanskrita Bharoter Nikat Abedan,1
2537,UDB-021-1325-26-01-Magh.pdf,1325,magh,Shri  Shyamlal Goswami,Bhokter Bhagaban,1
2538,UDB-021-1325-26-01-Magh.pdf,1325,magh,Swami Basudebananda,Hindushastre Jonmantarbad,1
2539,UDB-021-1325-26-01-Magh.pdf,1325,magh,Shri  Debendranath Basu,Songiter Muktikamana,1
2540,UDB-021-1325-26-01-Magh.pdf,1325,magh,Shri  Biharilal Sarkar,Shrikrishna o Uddhab,1
2541,UDB-021-1325-26-01-Magh.pdf,1325,magh,Doctor Shri  Sarashilal Sarkar,Swapnatwatta,1
2542,UDB-021-1325-26-01-Magh.pdf,1325,magh,,Swami Premanander Patra,1
2543,UDB-021-1325-26-01-Magh.pdf,1325,magh,,Sangbad o Mantabya,1
2544,UDB-021-1325-26-02-Falgoon.pdf,1325,falgoon,Janaika Brahmachari,Karmmajog o Amader Uposthit Kartabya,2
2545,UDB-021-1325-26-02-Falgoon.pdf,1325,falgoon,Shri  Basantakumar Chattopadhay,Sandhyabidhir Duiti Mantra,2
2546,UDB-021-1325-26-02-Falgoon.pdf,1325,falgoon,Shri  Biharilal Sarkar,Shrikrishna o Uddhab,2
2547,UDB-021-1325-26-02-Falgoon.pdf,1325,falgoon,Shri  Shyamlal Goswami,Baidik Bidushi Maitreyi,2
2548,UDB-021-1325-26-02-Falgoon.pdf,1325,falgoon,,Swami Premanander Patra,2
2549,UDB-021-1325-26-02-Falgoon.pdf,1325,falgoon,Swami Vivekananda,Dharmma Bigyansammata Kina?,2
2550,UDB-021-1325-26-02-Falgoon.pdf,1325,falgoon,Shri Karttikchandra Mitra,Prakrita Mahatma,2
2551,UDB-021-1325-26-02-Falgoon.pdf,1325,falgoon,Shri Kalidas Bandapadhyay,Brahmashakti,2
2552,UDB-021-1325-26-02-Falgoon.pdf,1325,falgoon,Doctor Shri  Sarashilal Sarkar,Swapnatwatta,2
2553,UDB-021-1325-26-02-Falgoon.pdf,1325,falgoon,,Swami Vivekanander Panchapanchashtama Janmotsab,2
2554,UDB-021-1325-26-02-Falgoon.pdf,1325,falgoon,,Sangbad o Mantabya,2
