id,bookname_ws,bookyear_i,bookmonth_txt_en_split,author_txt_en_split,subject_txt_en_split,booknumber_i
5300,UDB-036-1340-41-36-01-MAGH.pdf,1340,magh,Achintananda,Arun-Prososti,1
5301,UDB-036-1340-41-36-01-MAGH.pdf,1340,magh,Subhananda,Uttisthito Jagroto Prappo Borano Nibodhoto',1
5302,UDB-036-1340-41-36-01-MAGH.pdf,1340,magh,,Swami Vivekanander Potraboli,1
5303,UDB-036-1340-41-36-01-MAGH.pdf,1340,magh,Bibhuti Bandopadhyay,"""Ebare Kendro Bharatborsho""",1
5304,UDB-036-1340-41-36-01-MAGH.pdf,1340,magh,Sri Upendra Kumar Kar,Sri Ramkrishna-Vivekananda,1
5305,UDB-036-1340-41-36-01-MAGH.pdf,1340,magh,Debchaitanya Brahmachari,Brahmananda Uddesse,1
5306,UDB-036-1340-41-36-01-MAGH.pdf,1340,magh,,Sri Sri Latu Maharajer Jiboner Kotha,1
5307,UDB-036-1340-41-36-01-MAGH.pdf,1340,magh,,Srim-Somipe,1
5308,UDB-036-1340-41-36-01-MAGH.pdf,1340,magh,,Kotha Prosonge,1
5309,UDB-036-1340-41-36-01-MAGH.pdf,1340,magh,Sri Taraprosonno Basu,Sri Sri Saraswati Sangeet,1
5310,UDB-036-1340-41-36-01-MAGH.pdf,1340,magh,Lowry Prat,Lemuria O Atlantis,1
5311,UDB-036-1340-41-36-01-MAGH.pdf,1340,magh,Sri Shailendra Nath Paul,Pran-Protistha,1
5312,UDB-036-1340-41-36-01-MAGH.pdf,1340,magh,Sri Akshay Kumar Bandopadhyay,Arjun-Bishad-Yog,1
5313,UDB-036-1340-41-36-01-MAGH.pdf,1340,magh,,Puthi O Potro,1
5314,UDB-036-1340-41-36-01-MAGH.pdf,1340,magh,,Songho O Barta,1
5315,UDB-036-1340-41-36-01-MAGH.pdf,1340,magh,Sri Rashbihari Das,Prarthona,1
5316,UDB-036-1340-41-36-01-MAGH.pdf,1340,magh,Sri Nagendra Diwan,Milan,1
5317,UDB-036-1340-41-36-02-FALGOON.pdf,1340,falgoon,,Swamijir Potro,2
5318,UDB-036-1340-41-36-02-FALGOON.pdf,1340,falgoon,Sri Bhujongodhar Roychowdhury,Brahmmostotro,2
5319,UDB-036-1340-41-36-02-FALGOON.pdf,1340,falgoon,Sri Upendra Kumar Kar,Sri Ramkrishna-Vivekananda,2
5320,UDB-036-1340-41-36-02-FALGOON.pdf,1340,falgoon,Sri Bimalchandra Ghosh,Sri Ramakrishna,2
5321,UDB-036-1340-41-36-02-FALGOON.pdf,1340,falgoon,Sombuddhananda,Purbobonge Srimatswami Premananda,2
5322,UDB-036-1340-41-36-02-FALGOON.pdf,1340,falgoon,,Sri Sri Latu Maharajer  Kotha,2
5323,UDB-036-1340-41-36-02-FALGOON.pdf,1340,falgoon,,Kotha Prosonge,2
5324,UDB-036-1340-41-36-02-FALGOON.pdf,1340,falgoon,Madam Maria Monteswari,Shanti O Shikhha,2
5325,UDB-036-1340-41-36-02-FALGOON.pdf,1340,falgoon,Sri Sahaji,Porom Bhagobot Prahlad,2
5326,UDB-036-1340-41-36-02-FALGOON.pdf,1340,falgoon,Sri Jyotish Chandra Bandopadhyay,Pashchatya Dorshone Vedanter Abhash,2
5327,UDB-036-1340-41-36-02-FALGOON.pdf,1340,falgoon,,Madhukori,2
5328,UDB-036-1340-41-36-02-FALGOON.pdf,1340,falgoon,,Songho O Barta,2
5329,UDB-036-1340-41-36-02-FALGOON.pdf,1340,falgoon,Sri Suprakash Chakraborty,Swami Vivekanander Somadhimandir Sondorshone,2
5330,UDB-036-1340-41-36-02-FALGOON.pdf,1340,falgoon,Purnendu Roy,Ramakrishna,2
5331,UDB-036-1340-41-36-02-FALGOON.pdf,1340,falgoon,,Puthi O Potro,2
5332,UDB-036-1340-41-36-02-FALGOON.pdf,1340,falgoon,Bibhuti Bandopadhyay,Muktir Obhijan,2
5333,UDB-036-1340-41-36-02-FALGOON.pdf,1340,falgoon,Swami Jagadiswarananda,Bharoter Nikot Jagater Rin,2
5334,UDB-036-1340-41-36-02-FALGOON.pdf,1340,falgoon,,Srishti-Totto,2
5335,UDB-036-1340-41-36-03-CHAITRA.pdf,1340,chaitra,,Ved-Gaan,3
5336,UDB-036-1340-41-36-03-CHAITRA.pdf,1340,chaitra,,Swami Vivekanander Potraboli,3
5337,UDB-036-1340-41-36-03-CHAITRA.pdf,1340,chaitra,Sri Upendra Kumar Kar,Sri Ramkrishna-Vivekananda,3
5338,UDB-036-1340-41-36-03-CHAITRA.pdf,1340,chaitra,,Kotha Prosonge,3
5339,UDB-036-1340-41-36-03-CHAITRA.pdf,1340,chaitra,Sri Binay Kumar Sarkar,Vivekananda Du-Mukho Churi,3
5340,UDB-036-1340-41-36-03-CHAITRA.pdf,1340,chaitra,,Mahaprushjir Mohasamadhi Probesh,3
5341,UDB-036-1340-41-36-03-CHAITRA.pdf,1340,chaitra,Bamdebananda,Mahaprushjir Jibon Kotha,3
5342,UDB-036-1340-41-36-03-CHAITRA.pdf,1340,chaitra,Sri Jyotish Chandra Bandopadhyay,Mohaner Uddeshe,3
5343,UDB-036-1340-41-36-03-CHAITRA.pdf,1340,chaitra,Sri Shiboshombhu Sarkar,Smriti-Noti,3
5344,UDB-036-1340-41-36-03-CHAITRA.pdf,1340,chaitra,Purnendu Roy,Mohaprayane,3
5345,UDB-036-1340-41-36-03-CHAITRA.pdf,1340,chaitra,Bijoy Gopal,Sri Sri Gurudeb-Strotrom,3
5346,UDB-036-1340-41-36-03-CHAITRA.pdf,1340,chaitra,Kalika Chaitanya,Shibanandoji-Uddeshhe,3
5347,UDB-036-1340-41-36-03-CHAITRA.pdf,1340,chaitra,,Songho O Barta,3
5348,UDB-036-1340-41-36-03-CHAITRA.pdf,1340,chaitra,,Ramakrishna Missioner Bhumikompe Sebakarjo,3
5349,UDB-036-1340-41-36-03-CHAITRA.pdf,1340,chaitra,,Bihar Bhumikompe Ramakrishna Missioner Sebakarje,3
